table	production_rows	staging_rows	source_columns	final_disposition	owner	responsibility	canonical_readers_writers	direct_sql_boundaries	target_checks	retention
platform_locale_messages	333	0	5	retain domain table	Platform translation	Locale/message-key translated dictionary	localization.ts	server/utils/localization.ts:197; server/utils/localization.ts:224; server/utils/localization.ts:265; server/utils/localization.ts:268; server/utils/localization.ts:289; server/utils/localization.ts:292; server/utils/localization.ts:375		Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
post_channel_jobs	0	0	8	retain domain table	Social publication	Independent channel attempt outcome/provider identity; no Google publisher	post-management.ts; facebook-pages.ts	server/utils/facebook-pages.ts:406; server/utils/facebook-pages.ts:482; server/utils/facebook-pages.ts:519; server/utils/facebook-pages.ts:596; server/utils/post-management.ts:316; server/utils/post-management.ts:601; server/utils/post-management.ts:607; server/utils/post-management.ts:627; server/utils/post-management.ts:634	CONSTRAINT "post_channel_jobs_channel_check" CHECK(channel IN ('facebook', 'instagram')); CONSTRAINT "post_channel_jobs_status_check" CHECK(status IN ('pending', 'published', 'failed', 'skipped')); CONSTRAINT "post_channel_jobs_outcome_check" CHECK((status = 'pending' AND provider_post_id IS NULL AND published_at IS NULL AND error IS NULL) OR (status = 'published' AND provider_post_id IS NOT NULL AND published_at IS NOT NULL AND error IS NULL) OR (status IN ('failed', 'skipped') AND provider_post_id IS NULL AND published_at IS NULL AND error IS NOT NULL))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
posts	15	7	24	retain domain table	Local business post	Discriminated standard/event/offer/alert and structured CTA	post-management.ts; shared/posts.ts	seed-definitions/pottery-house.ts:1210; seed-definitions/demo.ts:1548; server/utils/dashboard-editor-resources.ts:251; server/utils/facebook-pages.ts:407; server/utils/facebook-pages.ts:459; server/utils/facebook-pages.ts:520; server/utils/facebook-pages.ts:573; server/utils/media-placement.ts:92; server/utils/media-placement.ts:239; server/utils/media-asset-manager.ts:157; server/utils/location-management.ts:859; server/utils/social-card.ts:155; server/utils/post-management.ts:160; server/utils/post-management.ts:278; server/utils/post-management.ts:307; server/utils/post-management.ts:355; server/utils/post-management.ts:428; server/utils/post-management.ts:485; server/utils/post-management.ts:535; server/utils/post-management.ts:546; server/utils/post-management.ts:721; server/utils/post-management.ts:734; server/utils/post-management.ts:766; server/utils/post-management.ts:769; server/utils/post-management.ts:788; server/utils/post-management.ts:820; server/utils/onboarding-checklist.ts:101; server/utils/public-locale-representations.ts:44; server/api/admin/analytics.get.ts:22; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:219; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:272; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:275; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:280; server/api/editor/sites/[siteId]/posts/[postId].delete.ts:27; server/api/editor/sites/[siteId]/posts/[postId]/publish.post.ts:30	CONSTRAINT "posts_status_check" CHECK(status IN ('published', 'scheduled')); CONSTRAINT "posts_publication_check" CHECK((status = 'scheduled' AND scheduled_for IS NOT NULL AND published_at IS NULL) OR (status = 'published' AND scheduled_for IS NULL AND published_at IS NOT NULL)); CONSTRAINT "posts_source_check" CHECK(source IN ('manual', 'template')); CONSTRAINT "posts_post_type_check" CHECK(post_type IN ('standard', 'offer', 'event', 'alert')); CONSTRAINT "posts_event_json_check" CHECK(event IS NULL OR (json_valid(event) AND json_type(event) IS 'object' AND json_type(event, '$.title') IS 'text' AND length(trim(json_extract(event, '$.title'))) > 0 AND json_type(event, '$.schedule') IS 'object' AND json_type(event, '$.schedule.start_date') IS 'text' AND json_type(event, '$.schedule.start_time') IS 'text' AND json_type(event, '$.schedule.end_date') IS 'text' AND json_type(event, '$.schedule.end_time') IS 'text')); CONSTRAINT "posts_offer_json_check" CHECK(offer IS NULL OR (json_valid(offer) AND json_type(offer) IS 'object')); CONSTRAINT "posts_call_to_action_check" CHECK(call_to_action IS NULL OR (json_valid(call_to_action) AND json_type(call_to_action) IS 'object' AND (json_extract(call_to_action, '$.action_type') IN ('book', 'order', 'shop', 'learn_more', 'sign_up', 'call')) IS 1 AND ((json_extract(call_to_action, '$.action_type') = 'call' AND json_type(call_to_action, '$.url') IS NULL) OR (json_extract(call_to_action, '$.action_type') <> 'call' AND json_type(call_to_action, '$.url') IS 'text' AND length(trim(json_extract(call_to_action, '$.url'))) > 0)))); CONSTRAINT "posts_topic_shape_check" CHECK((post_type = 'standard' AND event IS NULL AND offer IS NULL AND alert_type IS NULL) OR (post_type = 'event' AND event IS NOT NULL AND offer IS NULL AND alert_type IS NULL) OR (post_type = 'offer' AND event IS NOT NULL AND offer IS NOT NULL AND call_to_action IS NULL AND alert_type IS NULL) OR (post_type = 'alert' AND event IS NULL AND offer IS NULL AND alert_type IS 'covid_19'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
prices	629	175	15	retain domain table	Product price ledger	Integer minor-unit currency price intervals/provenance; history retained	product-management.ts; experiences.ts	seed-definitions/pottery-house.ts:1111; seed-definitions/kikuzuki.ts:869; seed-definitions/kikuzuki.ts:983; seed-definitions/demo.ts:1485; seed-definitions/demo.ts:1716; server/utils/copy-paste.ts:346; server/utils/copy-paste.ts:348; server/utils/copy-paste.ts:349; server/utils/copy-paste.ts:575; server/utils/copy-paste.ts:577; server/utils/copy-paste.ts:578; server/utils/experiences.ts:180; server/utils/experiences.ts:242; server/utils/experiences.ts:466; server/utils/experiences.ts:531; server/utils/experiences.ts:602; server/utils/experiences.ts:605; server/utils/experiences.ts:607; server/utils/product-management.ts:116; server/utils/product-management.ts:117; server/utils/product-management.ts:207; server/utils/product-management.ts:232; server/utils/product-management.ts:249; server/utils/product-management.ts:268; server/utils/product-management.ts:370; server/utils/product-management.ts:539; server/utils/product-management.ts:632; server/utils/product-management.ts:731; server/utils/product-management.ts:740; server/utils/product-management.ts:801; server/utils/product-management.ts:896; server/utils/product-management.ts:913; server/utils/public-page.ts:467; server/utils/public-page.ts:509; server/utils/public-page.ts:534; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:249	CONSTRAINT "prices_amount_check" CHECK("prices"."amount_minor" >= 0); CONSTRAINT "prices_compare_at_check" CHECK("prices"."compare_at_amount_minor" IS NULL OR "prices"."compare_at_amount_minor" > "prices"."amount_minor"); CONSTRAINT "prices_currency_check" CHECK("prices"."currency" IN ('THB','USD','EUR','GBP','JPY','AUD','CAD','SGD','HKD','MYR','IDR','PHP','VND','INR')); CONSTRAINT "prices_unit_check" CHECK("prices"."unit" IN ('item', 'person', 'table')); CONSTRAINT "prices_tax_behavior_check" CHECK("prices"."tax_behavior" IN ('unspecified', 'inclusive', 'exclusive')); CONSTRAINT "prices_validity_check" CHECK("prices"."valid_until" IS NULL OR "prices"."valid_until" > "prices"."valid_from")	Preserve ledger/history exactly, including historical provider/source/event vocabulary; no new age purge
product_categories	65	25	12	retain domain table	Product taxonomy	Scoped ordered standard/experience category	product-management.ts	seed-definitions/pottery-house.ts:1093; seed-definitions/kikuzuki.ts:857; seed-definitions/kikuzuki.ts:965; seed-definitions/demo.ts:1473; seed-definitions/demo.ts:1698; server/utils/copy-paste.ts:288; server/utils/copy-paste.ts:298; server/utils/copy-paste.ts:321; server/utils/localization.ts:836; server/utils/product-management.ts:112; server/utils/product-management.ts:1014; server/utils/product-management.ts:1030; server/utils/product-management.ts:1063; server/utils/product-management.ts:1100; server/utils/product-management.ts:1108; server/utils/product-management.ts:1152; server/utils/product-management.ts:1180; server/utils/product-management.ts:1378; server/utils/product-management.ts:1383; server/utils/public-page.ts:466	CONSTRAINT "product_categories_name_not_blank_check" CHECK(trim("product_categories"."name") <> ''); CONSTRAINT "product_categories_slug_check" CHECK("product_categories"."slug" <> '' AND "product_categories"."slug" = lower("product_categories"."slug") AND "product_categories"."slug" NOT GLOB '*[^a-z0-9-]*' AND "product_categories"."slug" NOT LIKE '-%' AND "product_categories"."slug" NOT LIKE '%-' AND "product_categories"."slug" NOT LIKE '%--%'); CONSTRAINT "product_categories_sort_order_check" CHECK("product_categories"."sort_order" >= 0); CONSTRAINT "product_categories_type_check" CHECK("product_categories"."product_type" IN ('standard', 'experience'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
products	492	176	26	retain domain table	Product catalog	Shared sellable identity/category/visibility/SEO; experience subtype linked	product-management.ts; experiences.ts	seed-definitions/pottery-house.ts:1098; seed-definitions/kikuzuki.ts:862; seed-definitions/kikuzuki.ts:970; seed-definitions/demo.ts:1478; seed-definitions/demo.ts:1703; scripts/backup-kikuzuki.mjs:96; scripts/backup-kikuzuki.mjs:117; server/utils/availability.ts:316; server/utils/availability.ts:404; server/utils/dashboard-booking-details.ts:147; server/utils/dashboard-agenda.ts:287; server/utils/copy-paste.ts:244; server/utils/copy-paste.ts:288; server/utils/copy-paste.ts:293; server/utils/copy-paste.ts:306; server/utils/copy-paste.ts:342; server/utils/copy-paste.ts:343; server/utils/copy-paste.ts:546; server/utils/copy-paste.ts:549; server/utils/copy-paste.ts:563; server/utils/copy-paste.ts:564; server/utils/contact-assignment.ts:39; server/utils/experiences.ts:179; server/utils/experiences.ts:265; server/utils/experiences.ts:280; server/utils/experiences.ts:430; server/utils/experiences.ts:526; server/utils/experiences.ts:592; server/utils/experiences.ts:652; server/utils/experiences.ts:779; server/utils/experiences.ts:819; server/domain/guest-threads/adapters/experience-booking.ts:64; server/domain/guest-threads/adapters/contact.ts:50; server/utils/module-content-guard.ts:16; server/utils/module-content-guard.ts:26; server/utils/mcp-executor/products.ts:23; server/api/sites/[siteId]/setup-progress.get.ts:93; server/utils/location-management.ts:857; server/utils/localization.ts:835; server/utils/localization.ts:892; server/utils/localization.ts:946; server/utils/product-management.ts:322; server/utils/product-management.ts:340; server/utils/product-management.ts:358; server/utils/product-management.ts:392; server/utils/product-management.ts:425; server/utils/product-management.ts:513; server/utils/product-management.ts:522; server/utils/product-management.ts:547; server/utils/product-management.ts:550; server/utils/product-management.ts:574; server/utils/product-management.ts:609; server/utils/product-management.ts:615; server/utils/product-management.ts:639; server/utils/product-management.ts:758; server/utils/product-management.ts:788; server/utils/product-management.ts:816; server/utils/product-management.ts:948; server/utils/product-management.ts:1247; server/utils/product-management.ts:1291; server/utils/product-management.ts:1309; server/utils/product-management.ts:1345; server/utils/product-management.ts:1349; server/utils/product-management.ts:1382; server/utils/social-card.ts:149; server/utils/social-card.ts:166; server/utils/onboarding-checklist.ts:89; server/utils/public-shell-query.ts:71; server/utils/public-shell-query.ts:79; server/utils/public-page.ts:465; server/utils/public-page.ts:477; server/utils/public-page.ts:508; server/utils/public-page.ts:533; server/utils/public-locale-representations.ts:31; server/utils/public-locale-representations.ts:38; server/plugins/sitemap.ts:230; server/plugins/sitemap.ts:256; server/api/admin/analytics.get.ts:22; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:214; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:227; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:228; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:233; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:238; server/api/editor/sites/[siteId]/customers/[customerId].get.ts:31; server/api/public/sites/[siteId]/conversion-events.post.ts:76; server/api/public/sites/[siteId]/experiences/bookings/[bookingId].get.ts:39; server/api/public/sites/[siteId]/experiences/bookings/[bookingId]/cancel.post.ts:90	CONSTRAINT "products_name_not_blank_check" CHECK(trim("products"."name") <> ''); CONSTRAINT "products_slug_check" CHECK("products"."slug" <> '' AND "products"."slug" = lower("products"."slug") AND "products"."slug" NOT GLOB '*[^a-z0-9-]*' AND "products"."slug" NOT LIKE '-%' AND "products"."slug" NOT LIKE '%-' AND "products"."slug" NOT LIKE '%--%'); CONSTRAINT "products_sort_order_check" CHECK("products"."sort_order" >= 0); CONSTRAINT "products_featured_sort_order_check" CHECK("products"."featured_sort_order" >= 0); CONSTRAINT "products_boolean_check" CHECK("products"."is_visible" IN (0, 1) AND "products"."available" IN (0, 1) AND "products"."featured" IN (0, 1)); CONSTRAINT "products_type_check" CHECK("products"."product_type" IN ('standard', 'experience')); CONSTRAINT "products_tags_json_check" CHECK(json_valid("products"."tags_json") AND json_type("products"."tags_json") = 'array'); CONSTRAINT "products_details_json_check" CHECK(json_valid("products"."details_json") AND json_type("products"."details_json") = 'array'); CONSTRAINT "products_source_check" CHECK("products"."source" IN ('manual', 'template', 'ai', 'import', 'copy')); CONSTRAINT "products_order_url_check" CHECK("products"."order_url" IS NULL OR ("products"."order_url" LIKE 'https://_%' AND instr("products"."order_url", '@') = 0 AND instr("products"."order_url", char(10)) = 0 AND instr("products"."order_url", char(13)) = 0)); CONSTRAINT "products_robots_check" CHECK("products"."robots" IS NULL OR "products"."robots" IN ('index,follow', 'noindex,follow', 'index,nofollow', 'noindex,nofollow'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
public_resource_cache_invalidations	354	1	9	retain domain table	Public cache outbox	Durable invalidation processing/attempts/errors	public-resource-cache.ts	server/utils/public-resource-cache.ts:30; server/utils/public-resource-cache.ts:49; server/utils/public-resource-cache.ts:54; server/utils/public-resource-cache.ts:63; server/utils/public-resource-cache.ts:73; server/utils/public-resource-cache.ts:93; server/utils/public-resource-cache.ts:102	CONSTRAINT "public_resource_cache_invalidations_status_check" CHECK(status IN ('pending', 'processing', 'processed', 'failed')); CONSTRAINT "public_resource_cache_invalidations_attempt_count_check" CHECK(attempt_count >= 0)	Existing terminal retention seven days (public-resource-cache.ts:22); preserve pending work/claims/errors
rate_limits	795	63	4	retain domain table	Request throttling	Atomic public ingress key/window counters	hourly-rate-limit.ts; api/contact.post.ts; api/analytics/track.post.ts	server/utils/hourly-rate-limit.ts:48; server/api/analytics/track.post.ts:88; server/api/analytics/track.post.ts:95; server/api/contact.post.ts:42		Expiry resets on next atomic claim (hourly-rate-limit.ts); preserve current counters/window
reservation_submissions	15	2	25	retain domain table	Guest reservation	Date/time/party commitment and cancellation/completion/review facts	api/public/sites/[siteId]/reservations.post.ts; domain/guest-threads/booking-changes.ts; availability.ts	seed-definitions/demo.ts:1732; scripts/backup-kikuzuki.mjs:107; scripts/canary-prod.mjs:68; scripts/canary-prod.mjs:145; scripts/generate-demo-seed.ts:219; scripts/reset-e2e-artifacts.ts:253; scripts/reset-e2e-artifacts.ts:261; scripts/reset-e2e-artifacts.ts:262; server/utils/availability.ts:349; server/utils/dashboard-editor-resources.ts:253; server/utils/dashboard-booking-details.ts:126; server/utils/customers.ts:284; server/domain/guest-threads/repository.ts:332; server/domain/guest-threads/repository.ts:455; server/domain/guest-threads/adapters/reservation.ts:60; server/tasks/review-request-automation.ts:80; server/tasks/review-request-automation.ts:150; server/api/whatsapp/webhook.post.ts:147; server/api/whatsapp/webhook.post.ts:179; server/utils/module-content-guard.ts:36; server/utils/mcp-workflows.ts:188; server/utils/mcp-workflows.ts:213; server/utils/mcp-workflows.ts:236; server/utils/mcp-workflows.ts:272; server/utils/location-management.ts:863; server/utils/location-management.ts:889; server/utils/submission-messages.ts:102; server/utils/submission-messages.ts:126; server/utils/review-requests.ts:132; server/utils/review-requests.ts:219; server/api/public/sites/[siteId]/reservations.post.ts:128; server/api/public/sites/[siteId]/reservations.post.ts:134; server/api/editor/sites/[siteId]/customers/[customerId].get.ts:22; server/api/public/sites/[siteId]/reservations/[reservationId].get.ts:22; server/api/public/sites/[siteId]/reservations/[reservationId]/cancel.post.ts:54; server/api/public/sites/[siteId]/reservations/[reservationId]/cancel.post.ts:82; server/api/editor/sites/[siteId]/reservation-submissions/[submissionId].patch.ts:34; server/api/editor/sites/[siteId]/reservation-submissions/[submissionId]/review-request.post.ts:15; server/api/editor/sites/[siteId]/reservation-submissions/[submissionId]/complete.post.ts:17	CONSTRAINT "reservation_submissions_status_check" CHECK(status IN ('new', 'confirmed', 'cancelled', 'completed')); CONSTRAINT "reservation_submissions_completion_source_check" CHECK(completion_source IS NULL OR completion_source IN ('manual', 'auto'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
resource_localizations	597	0	13	retain domain table	Tenant translation	Explicit resource/locale values/route/optional rich document	localization.ts; localization-registry.ts	scripts/audit-orphaned-media-placements.mjs:24; scripts/epoch5-data.mjs:73; scripts/epoch5-data.mjs:76; server/utils/content-documents.ts:30; server/utils/localization.ts:441; server/utils/localization.ts:461; server/utils/localization.ts:529; server/utils/localization.ts:622; server/utils/localization.ts:640; server/utils/localization.ts:706; server/utils/localization.ts:729; server/utils/localization.ts:770; server/utils/localization.ts:778; server/utils/localization.ts:780; server/utils/localization.ts:792; server/utils/localization.ts:797; server/utils/localization.ts:837; server/utils/localization.ts:908; server/utils/localization.ts:931; server/utils/localization.ts:943; server/utils/site-language-billing.ts:386; server/utils/site-language-billing.ts:398; server/utils/platform-content.ts:923; server/utils/public-shell.ts:118; server/utils/public-localization.ts:40; server/utils/public-locale-representations.ts:98; server/plugins/sitemap.ts:148	CONSTRAINT "resource_localizations_resource_type_check" CHECK("resource_localizations"."resource_type" IN ('site', 'business_location', 'product', 'product_category', 'experience', 'offering', 'site_post', 'tenant_blog_post', 'location_qa', 'media_asset', 'booking_policy', 'site_link_page', 'site_link_item', 'tenant_compliance', 'site_consultation_settings')); CONSTRAINT "resource_localizations_values_json_check" CHECK(json_valid("resource_localizations"."values_json") AND json_type("resource_localizations"."values_json") = 'object'); CONSTRAINT "resource_localizations_non_english_check" CHECK("resource_localizations"."locale" <> 'en'); CONSTRAINT "resource_localizations_route_path_check" CHECK("resource_localizations"."route_path" IS NULL OR ("resource_localizations"."route_path" LIKE '/' || "resource_localizations"."locale" || '/%' AND "resource_localizations"."route_path" NOT LIKE '%?%' AND "resource_localizations"."route_path" NOT LIKE '%#%' AND "resource_localizations"."route_path" NOT LIKE '%//%'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
review_requests	0	0	20	retain domain table	Guest review capability	Hashed expiring booking/customer token and send/claim/revocation facts	review-requests.ts; tasks/review-request-automation.ts	server/utils/auth.ts:407; server/utils/auth.ts:417; server/utils/experiences.ts:638; server/domain/guest-threads/operations.ts:209; server/utils/location-management.ts:862; server/utils/review-requests.ts:184; server/utils/review-requests.ts:199; server/utils/review-requests.ts:248; server/utils/review-requests.ts:277; server/utils/review-requests.ts:299; server/utils/review-requests.ts:314; server/utils/review-requests.ts:331; server/utils/review-requests.ts:338; server/utils/review-requests.ts:344; server/utils/review-requests.ts:351; server/utils/review-requests.ts:378; server/utils/review-requests.ts:391; server/api/public/review-requests/submit.post.ts:72; server/api/public/review-requests/submit.post.ts:137; server/api/public/review-requests/opt-out.post.ts:30; server/api/public/review-requests/bind-session.post.ts:32; server/api/public/review-requests/[requestId]/media/request-upload.post.ts:83; server/api/public/review-requests/[requestId]/media/upload.post.ts:124; server/api/editor/sites/[siteId]/customers/[customerId].get.ts:47	CONSTRAINT "review_requests_booking_type_check" CHECK(booking_type IN ('reservation', 'experience_booking'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
reviews	58	33	29	retain domain table	Customer review	Content/attribution/provenance/reply/moderation and publication authorization	review-management.ts; google-places.ts	seed-definitions/pottery-house.ts:1145; seed-definitions/kikuzuki.ts:1011; seed-definitions/demo.ts:1391; scripts/client-import.mjs:523; server/utils/auth.ts:412; server/utils/copy-paste.ts:87; server/utils/copy-paste.ts:254; server/utils/copy-paste.ts:460; server/utils/copy-paste.ts:476; server/utils/copy-paste.ts:478; server/utils/dashboard-org-analytics.ts:176; server/utils/experiences.ts:634; server/utils/experiences.ts:636; server/utils/google-places.ts:181; server/utils/mcp-workflows.ts:317; server/utils/location-management.ts:860; server/utils/location-management.ts:866; server/utils/product-management.ts:1346; server/utils/product-management.ts:1347; server/utils/product-management.ts:1379; server/utils/product-management.ts:1380; server/utils/social-card.ts:183; server/utils/site-reviews.ts:71; server/utils/site-reviews.ts:100; server/utils/site-reviews.ts:155; server/utils/site-reviews.ts:161; server/utils/site-reviews.ts:183; server/utils/site-reviews.ts:191; server/utils/review-management.ts:13; server/utils/review-management.ts:45; server/utils/review-management.ts:80; server/utils/public-products.ts:220; server/utils/public-page.ts:546; server/utils/public-page.ts:560; server/utils/public-page.ts:569; server/utils/public-page.ts:577; server/api/sites/[siteId]/locations/[locationId]/reviews.get.ts:19; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:220; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:227; server/api/public/review-requests/submit.post.ts:86; server/api/public/review-requests/submit.post.ts:131; server/api/editor/sites/[siteId]/customers/[customerId].get.ts:39; server/api/public/sites/[siteId]/locations/[slug]/reviews.get.ts:24; server/api/public/sites/[siteId]/locations/[slug]/reviews.get.ts:30; server/api/public/sites/[siteId]/locations/[slug]/reviews/[reviewId]/helpful.post.ts:17; server/api/public/sites/[siteId]/locations/[slug]/reviews/[reviewId]/helpful.post.ts:29; server/api/public/sites/[siteId]/locations/[locationSlug]/products/[productSlug]/reviews.post.ts:37	CONSTRAINT "reviews_status_check" CHECK(status IN ('pending', 'approved', 'rejected')); CONSTRAINT "reviews_google_review_metadata_check" CHECK(google_review_metadata IS NULL OR (json_valid(google_review_metadata) AND json_type(google_review_metadata) IS 'object')); CONSTRAINT "reviews_booking_type_check" CHECK(booking_type IS NULL OR booking_type IN ('reservation', 'experience_booking')); CONSTRAINT "reviews_rating_check" CHECK(rating BETWEEN 1 AND 5); CONSTRAINT "reviews_publication_authorized_check" CHECK(publication_authorized IN (0, 1)); CONSTRAINT "reviews_collection_method_check" CHECK(collection_method IS NULL OR collection_method IN ('in_person', 'email', 'phone', 'migration', 'other')); CONSTRAINT "reviews_product_scope_check" CHECK(product_id IS NULL OR (organization_id IS NOT NULL AND site_id IS NOT NULL AND location_id IS NOT NULL)); CONSTRAINT "reviews_owner_entered_provenance_check" CHECK(source != 'owner_entered' OR (organization_id IS NOT NULL AND site_id IS NOT NULL AND location_id IS NULL AND entered_by_user_id IS NOT NULL AND collection_method IS NOT NULL AND publication_authorized = 1))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
session	203	0	11	retain domain table	Better Auth	Supported provider-owned session schema/adapter contract; full pinned 18-table census proves indirect consumers	auth.ts; better-auth-stripe.ts; member-access.ts	scripts/provision-development-auth.ts:95		Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative
site_analytics_daily	99	0	12	retain domain table	Analytics aggregate	Local-date page/session/visitor/duration counts	site-analytics-report.ts	scripts/generate-demo-seed.ts:197; server/utils/site-analytics-report.ts:76; server/utils/site-analytics-report.ts:190; server/utils/site-analytics-report.ts:344	CONSTRAINT "site_analytics_daily_counts_check" CHECK(page_views >= 0 AND unique_sessions >= 0 AND avg_session_duration >= 0 AND unique_visitors >= 0 AND pages_per_session >= 0 AND returning_visitors >= 0)	Existing session/aggregate retention 740 days (site-analytics-report.ts:328-346); preserve all still-present source facts
site_analytics_dimension_daily	436	0	10	retain domain table	Analytics aggregate	Local-date country/city/device/referrer dimension counts	site-analytics-report.ts	scripts/generate-demo-seed.ts:208; server/utils/site-analytics-report.ts:74; server/utils/site-analytics-report.ts:117; server/utils/site-analytics-report.ts:126; server/utils/site-analytics-report.ts:135; server/utils/site-analytics-report.ts:145; server/utils/site-analytics-report.ts:192; server/utils/site-analytics-report.ts:346	CONSTRAINT "site_analytics_dimension_daily_counts_check" CHECK(page_views >= 0); CONSTRAINT "site_analytics_dimension_daily_dimension_check" CHECK("site_analytics_dimension_daily"."dimension" IN ('country', 'city', 'device', 'referrer'))	Existing session/aggregate retention 740 days (site-analytics-report.ts:328-346); preserve all still-present source facts
site_analytics_page_daily	364	0	8	retain domain table	Analytics aggregate	Local-date page-path counts	site-analytics-report.ts	scripts/generate-demo-seed.ts:203; server/utils/site-analytics-report.ts:73; server/utils/site-analytics-report.ts:110; server/utils/site-analytics-report.ts:191; server/utils/site-analytics-report.ts:345	CONSTRAINT "site_analytics_page_daily_counts_check" CHECK(page_views >= 0)	Existing session/aggregate retention 740 days (site-analytics-report.ts:328-346); preserve all still-present source facts
site_analytics_sessions	1171	123	23	retain domain table	Analytics session	Pseudonymous session and captured last-touch campaign attribution	pageview-tracking.ts; site-conversions.ts; site-analytics-report.ts	server/utils/site-conversions.ts:49; server/utils/pageview-tracking.ts:133; server/utils/pageview-tracking.ts:174; server/utils/site-analytics-report.ts:86; server/utils/site-analytics-report.ts:89; server/utils/site-analytics-report.ts:162; server/utils/site-analytics-report.ts:242; server/utils/site-analytics-report.ts:243; server/utils/site-analytics-report.ts:245; server/utils/site-analytics-report.ts:249; server/utils/site-analytics-report.ts:336	CONSTRAINT "site_analytics_sessions_duration_check" CHECK(duration_seconds >= 0)	Existing session/aggregate retention 740 days (site-analytics-report.ts:328-346); preserve all still-present source facts
site_config	16	9	5	retain domain table	Site configuration	Keyed settings including explicit default_timezone	platform-content.ts; availability.ts; site-analytics-report.ts	seed-definitions/pottery-house.ts:920; seed-definitions/kikuzuki.ts:674; seed-definitions/demo.ts:1262; server/utils/dashboard-agenda.ts:277; server/utils/member-access.ts:276; server/utils/mcp-workflows.ts:94; server/utils/mcp-workflows.ts:141; server/utils/zaraz-analytics.ts:362; server/utils/whatsapp.ts:477; server/utils/whatsapp.ts:486; server/utils/whatsapp.ts:668; server/utils/whatsapp.ts:674; server/utils/site-transfer.ts:172; server/utils/site-transfer.ts:317; server/utils/site-links.ts:229; server/utils/platform-content.ts:827; server/utils/site-config.ts:29; server/utils/site-config.ts:118; server/utils/site-config.ts:134; server/utils/site-analytics-report.ts:56; server/utils/site-analytics-report.ts:315; server/utils/site-analytics-report.ts:332; server/utils/public-shell-query.ts:67; server/utils/public-base.ts:70; server/utils/notifications.ts:290; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:126		Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
site_consultation_settings	1	1	13	retain domain table	Consultation	Explicit external CTA/disabled-native mode/tracking configuration	professional-services.ts; professional-services-editor.ts	server/utils/professional-services-editor.ts:475; server/utils/professional-services.ts:299; server/api/public/sites/[siteId]/conversion-events.post.ts:63	CONSTRAINT "site_consultation_settings_metadata_json_check" CHECK(metadata_json IS NULL OR (json_valid(metadata_json))); CONSTRAINT "site_consultation_settings_mode_check" CHECK(mode IN ('external_url', 'native_disabled')); CONSTRAINT "site_consultation_settings_schedule_path_check" CHECK(schedule_path LIKE '/%'); CONSTRAINT "site_consultation_settings_confirmation_path_check" CHECK(confirmation_path LIKE '/%')	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
site_conversion_events	129	0	29	retain domain table	Conversion ledger	Captured CTA/submission/handoff event and original attribution strings	site-conversions.ts; site-analytics-report.ts	server/utils/site-conversions.ts:64; server/utils/site-analytics-report.ts:250; server/utils/site-analytics-report.ts:252	CONSTRAINT "site_conversion_events_metadata_json_check" CHECK(metadata_json IS NULL OR (json_valid(metadata_json))); CONSTRAINT "site_conversion_events_name_check" CHECK((event_name GLOB '[a-z]' OR event_name GLOB '[a-z][a-z0-9_]*') AND length(event_name) <= 64); CONSTRAINT "site_conversion_events_stage_check" CHECK("site_conversion_events"."stage" IN ('schedule_navigation', 'external_booking_handoff', 'submitted', 'external_handoff'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
